id,title,author,rating,tags,volume,image,link
969,Попаданка. Любовь сквозь века,Надежда Игоревна Соколова,4.4,"['Детективное фэнтези', 'Историческое фэнтези', 'Любовное фэнтези', 'Альтернативная реальность', 'Искатели приключений', 'Исторические события', 'Самиздат', 'Юмор']",250,https://cv0.litres.ru/pub/c/elektronnaya-kniga/cover_415/63457507-nadezhda-sokolova-13329766-popadanka-lubov-skvoz-veka.jpg,https://www.litres.ru/nadezhda-sokolova-13329766/popadanka-lubov-skvoz-veka/
970,Жена под заказ,Берта Свон,4.3,"['Любовное фэнтези', 'Эротические романы', 'Эротическое фэнтези', 'Веселые приключения', 'Самиздат', 'Страстная любовь', 'Страсть', 'Юмор']",190,https://cv1.litres.ru/pub/c/elektronnaya-kniga/cover_415/63457117-berta-svon-zhena-pod-zakaz.jpg,https://www.litres.ru/berta-svon/zhena-pod-zakaz/
971,Наследство черной вдовы,Надежда Игоревна Соколова,4.5,"['Книги о приключениях', 'Любовное фэнтези', 'Юмористическое фэнтези', 'Дорожные приключения', 'Жизненный выбор', 'Лирические герои', 'Самиздат', 'Свадьба']",190,https://cv9.litres.ru/pub/c/elektronnaya-kniga/cover_415/63457093-nadezhda-sokolova-13329766-nasledstvo-chernoy-vdovy.jpg,https://www.litres.ru/nadezhda-sokolova-13329766/nasledstvo-chernoy-vdovy/
972,Флайтир. Мир без границЧЕР,Кирилл Олегович Труман,0,"['Боевое фэнтези', 'Попаданцы', 'Виртуальная реальность', 'Самиздат', 'Фантастика и фэнтези для подростков', 'Черновик']",страниц:,https://cv2.litres.ru/pub/c/elektronnaya-kniga/cover_415/63456521-kirill-olegovich-truman-flaytir-mir-bez-granic.jpg,https://www.litres.ru/kirill-olegovich-truman/flaytir-mir-bez-granic/
973,Сага о Сильвасах. Том 1ЧЕР,Юлия Николаевна Гусева,5.0,"['Боевое фэнтези', 'Книги о приключениях', 'Любовное фэнтези', 'Ангелы и демоны', 'Боевая магия', 'Дружба и верность', 'Невероятные приключения', 'Самиздат', 'Черновик']",страниц:,https://cv7.litres.ru/pub/c/elektronnaya-kniga/cover_415/63455871-uliya-nikolaevna-guseva-saga-o-silvasah-tom-1.jpg,https://www.litres.ru/uliya-nikolaevna-guseva/saga-o-silvasah-tom-1/
974,Многомирие: КолизейЧЕР,Игорь Строков,5.0,"['Научная фантастика', 'Попаданцы', 'Альтернативная история', 'Гладиаторы', 'Рим', 'Самиздат', 'Становление героя', 'Черновик']",страниц:,https://cv6.litres.ru/pub/c/elektronnaya-kniga/cover_415/63455867-igor-strokov-26906512-mnogomirie-kolizey.jpg,https://www.litres.ru/igor-strokov-26906512/mnogomirie-kolizey/
975,Joseph - Das fremde Ich,Arnold Cohen,0,['Фанфик'],350,https://cv8.litres.ru/pub/c/elektronnaya-kniga/cover_415/63455785-arnold-cohen-joseph-das-fremde-ich.jpg,https://www.litres.ru/arnold-cohen/joseph-das-fremde-ich/
976,Как стать иттатером. Фаза 2,Александр Викторович Чайко,5.0,"['Боевая фантастика', 'Книги о приключениях', 'Попаданцы', 'Жестокость', 'Необъяснимые явления', 'Самиздат', 'Сверхспособности', 'Юмор']",300,https://cv7.litres.ru/pub/c/elektronnaya-kniga/cover_330/63455477-aleksandr-viktorovich-chayko-kak-stat-ittaterom-faza-2.jpg,https://www.litres.ru/aleksandr-viktorovich-chayko/kak-stat-ittaterom-faza-2/
977,«Граф-Т»ЧЕР,Екатерина Александровна Клепикова,5.0,"['Русское фэнтези', 'Невероятные приключения', 'Самиздат', 'Сказочные приключения', 'Тайны подсознания', 'Фантастика и фэнтези для подростков', 'Черновик']",страниц:,https://cv9.litres.ru/pub/c/elektronnaya-kniga/cover_415/63455293-ekaterina-aleksandrovna-klepikova-graf-t.jpg,https://www.litres.ru/ekaterina-aleksandrovna-klepikova/graf-t/
978,Потерянная станцияЧЕР,Яков Спесивцев,5.0,"['Боевая фантастика', 'Боевое фэнтези', 'Попаданцы', 'Самиздат', 'Становление героя', 'Черновик']",страниц:,https://cv0.litres.ru/pub/c/elektronnaya-kniga/cover_415/63455207-yakov-spesivcev-poteryannaya-stanciya.jpg,https://www.litres.ru/yakov-spesivcev/poteryannaya-stanciya/
