id,title,author,rating,tags,volume,image,link
2835,Holding The Line,Kierney Scott,0,"['Зарубежная фантастика', 'Зарубежные любовные романы', 'Современная зарубежная литература', 'Триллеры', 'Эротические романы']",280,https://cv2.litres.ru/pub/c/elektronnaya-kniga/cover_415/63219820-kierney-scott-26825025-holding-the-line.jpg,https://www.litres.ru/kierney-scott-26825025/holding-the-line/
2836,Marry A Man Who Will Dance,Ann Major,0,"['Зарубежная фантастика', 'Зарубежные любовные романы', 'Короткие любовные романы', 'Современная зарубежная литература', 'Триллеры']",330,https://cv1.litres.ru/pub/c/elektronnaya-kniga/cover_415/63219810-ann-major-21067846-marry-a-man-who-will-dance.jpg,https://www.litres.ru/ann-major-21067846/marry-a-man-who-will-dance/
2837,The Journey Home,Fiona Hood-Stewart,0,"['Зарубежная фантастика', 'Зарубежные любовные романы', 'Исторические приключения', 'Короткие любовные романы', 'Триллеры']",460,https://cv6.litres.ru/pub/c/elektronnaya-kniga/cover_415/63219765-fiona-hood-stewart-22070879-the-journey-home.jpg,https://www.litres.ru/fiona-hood-stewart-22070879/the-journey-home/
2838,Behind The Mask,Metsy Hingle,0,"['Зарубежная фантастика', 'Зарубежные любовные романы', 'Исторические приключения', 'Короткие любовные романы', 'Триллеры']",310,https://cv2.litres.ru/pub/c/elektronnaya-kniga/cover_415/63219725-metsy-hingle-22045071-behind-the-mask.jpg,https://www.litres.ru/metsy-hingle-22045071/behind-the-mask/
2839,Глубокий поиск. Книга 3. Долг,Иван Кузнецов,3.4,"['Историческая фантастика', 'Шпионские детективы', 'Сверхспособности', 'Секретные операции', 'Спецслужбы', 'Фашизм']",270,https://cv9.litres.ru/pub/c/elektronnaya-kniga/cover_415/63219696-kuznecov-ivan-glubokiy-poisk-kniga-3-dolg.jpg,https://www.litres.ru/kuznecov-ivan/glubokiy-poisk-kniga-3-dolg/
2840,Bitter Sun,Beth Lewis,0,"['Зарубежные детективы', 'Контркультура', 'Мистика', 'Современная зарубежная литература', 'Юмористическая фантастика']",430,https://cv0.litres.ru/pub/c/elektronnaya-kniga/cover_415/63219505-beth-lewis-21174047-bitter-sun.jpg,https://www.litres.ru/beth-lewis-21174047/bitter-sun/
2841,A Fatal Flaw,Faith Martin,0,"['Зарубежная классика', 'Зарубежные детективы', 'Мистика', 'Современная зарубежная литература']",280,https://cv8.litres.ru/pub/c/elektronnaya-kniga/cover_415/63218685-faith-martin-21174471-a-fatal-flaw.jpg,https://www.litres.ru/faith-martin-21174471/a-fatal-flaw/
2842,Внутри мафии,Алексей Николаевич Наст,0,"['Криминальные боевики', 'Современные детективы', 'Криминальные детективы', 'Преступные группировки', 'Русская мафия', 'Частное расследование', 'Частные детективы']",220,https://cv7.litres.ru/pub/c/elektronnaya-kniga/cover_415/63218676-aleksey-nast-vnutri-mafii.jpg,https://www.litres.ru/aleksey-nast/vnutri-mafii/
2843,Destination Unknown,Agatha Christie,0,"['Зарубежная классика', 'Зарубежные детективы', 'Исторические приключения', 'Триллеры']",220,https://cv8.litres.ru/pub/c/elektronnaya-kniga/cover_415/63218480-agata-kristi-destination-unknown-63218480.jpg,https://www.litres.ru/agata-kristi/destination-unknown-63218480/
2844,Cowboy At Arms,Carla Cassidy,0,"['Вестерны', 'Зарубежная фантастика', 'Зарубежные любовные романы', 'Короткие любовные романы', 'Триллеры']",240,https://cv1.litres.ru/pub/c/elektronnaya-kniga/cover_415/63218410-carla-cassidy-22045575-cowboy-at-arms.jpg,https://www.litres.ru/carla-cassidy-22045575/cowboy-at-arms/
